YYYY,MM,DD,hh,mm,ss,msec,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,06,38,51,384,tr,0.000,0.000000,0.154612,-0.848030,-0.00374,-0.00823,-0.61072,-0.00366,-0.01301,-1.09870,-0.00360,-0.01518,-1.31039,-0.00358,-0.01547,-1.34488,-0.00367,-0.01235,-1.03174,-1.67103,-0.00366,0.13095,10.12169,5.65910,0.17079,10.12169,10.12169,0.08659,8.83808,10.12169,9.00764,10.12169,10.02326,0.57524,3.97077,-4.00143
2022,05,08,06,38,51,635,tr,0.000,0.000000,-0.077026,-7.518716,-0.00361,-0.00811,-0.60673,-0.00362,-0.01310,-1.10418,-0.00371,-0.01528,-1.31600,-0.00372,-0.01555,-1.34361,-0.00374,-0.01248,-1.03993,-1.67112,-0.00356,0.13112,10.12169,5.66026,0.17080,10.12169,10.12169,0.08675,8.84071,10.12169,9.00900,10.12169,10.01558,0.57537,3.97079,-4.00140
2022,05,08,06,38,51,884,tr,0.000,0.000000,0.084125,-2.107205,-0.00366,-0.00817,-0.61013,-0.00364,-0.01303,-1.10532,-0.00359,-0.01511,-1.31277,-0.00360,-0.01544,-1.34316,-0.00359,-0.01243,-1.03734,-1.67110,-0.00359,0.13107,10.12169,5.66047,0.17085,10.12169,10.12169,0.08665,8.84078,10.12169,9.00961,10.12169,10.01751,0.57526,3.97080,-4.00132
2022,05,08,06,38,52,133,tr,0.000,0.000000,0.059269,-5.496163,-0.00344,-0.00804,-0.61936,-0.00352,-0.01296,-1.09683,-0.00356,-0.01505,-1.30435,-0.00355,-0.01531,-1.33687,-0.00352,-0.01230,-1.03686,-1.67096,-0.00341,0.13133,10.12169,5.65962,0.17111,10.12169,10.12169,0.08700,8.84439,10.12169,9.00947,10.12169,10.02374,0.57550,3.97094,-4.00113
2022,05,08,06,38,52,383,tr,0.000,0.000000,-0.402804,-5.580263,-0.00348,-0.00804,-0.61771,-0.00327,-0.01278,-1.09928,-0.00324,-0.01472,-1.29795,-0.00322,-0.01453,-1.28507,-0.00315,-0.01197,-1.02308,-1.67083,-0.00330,0.13136,10.12169,5.66036,0.17109,10.12169,10.12169,0.08702,8.84290,10.12169,9.00749,10.12169,10.02304,0.57556,3.97095,-4.00105
2022,05,08,06,38,52,634,tr,0.000,0.000000,-0.052939,-1.566046,-0.00345,-0.00807,-0.61974,-0.00355,-0.01295,-1.09821,-0.00353,-0.01506,-1.30738,-0.00350,-0.01485,-1.28751,-0.00347,-0.01221,-1.02988,-1.67096,-0.00343,0.13135,10.12169,5.66107,0.17100,10.12169,10.12169,0.08699,8.84101,10.12169,9.00574,10.12169,10.02305,0.57555,3.97089,-4.00122
2022,05,08,06,38,52,884,tr,0.000,0.000000,0.033534,-7.848919,-0.00356,-0.00810,-0.61817,-0.00336,-0.01280,-1.09783,-0.00346,-0.01494,-1.30785,-0.00336,-0.01469,-1.28242,-0.00335,-0.01213,-1.02735,-1.67090,-0.00346,0.13121,10.12169,5.66038,0.17097,10.12169,10.12169,0.08686,8.84240,10.12169,9.00798,10.12169,10.02377,0.57542,3.97096,-4.00119
2022,05,08,06,38,53,134,tr,0.000,0.000000,0.195882,-5.065852,-0.00346,-0.00821,-0.63092,-0.00348,-0.01290,-1.09639,-0.00359,-0.01508,-1.30807,-0.00354,-0.01486,-1.28886,-0.00353,-0.01224,-1.02683,-1.67103,-0.00351,0.13131,10.12169,5.65798,0.17097,10.12169,10.12169,0.08699,8.84401,10.12169,9.00905,10.12169,10.02365,0.57574,3.97113,-4.00101
2022,05,08,06,38,53,383,tr,0.000,0.000000,-0.628722,2.015410,-0.00321,-0.00780,-0.61448,-0.00310,-0.01249,-1.08362,-0.00314,-0.01457,-1.29010,-0.00316,-0.01440,-1.27730,-0.00315,-0.01185,-1.02009,-1.67067,-0.00308,0.13156,10.12169,5.65873,0.17135,10.12169,10.12169,0.08721,8.84830,10.12169,9.00856,10.12169,10.02583,0.57573,3.97111,-4.00097
2022,05,08,06,38,53,633,tr,0.000,0.000000,0.170280,6.536068,-0.00328,-0.00791,-0.61562,-0.00339,-0.01272,-1.09118,-0.00343,-0.01492,-1.30063,-0.00335,-0.01463,-1.27918,-0.00336,-0.01214,-1.03158,-1.67090,-0.00336,0.13141,10.12169,5.66051,0.17120,10.12169,10.12169,0.08720,8.84595,10.12169,9.00841,10.12169,10.02545,0.57586,3.97125,-4.00087
2022,05,08,06,38,53,883,tr,0.000,0.000000,-0.187944,7.433597,-0.00305,-0.00760,-0.59764,-0.00297,-0.01227,-1.06924,-0.00300,-0.01438,-1.28195,-0.00297,-0.01420,-1.26873,-0.00289,-0.01182,-1.02572,-1.67055,-0.00304,0.13165,10.12169,5.66035,0.17135,10.12169,10.12169,0.08708,8.84546,10.12169,9.00690,10.12169,10.01950,0.57561,3.97107,-4.00096
2022,05,08,06,38,54,134,tr,0.000,0.000000,0.305298,-3.400963,-0.00333,-0.00792,-0.61825,-0.00340,-0.01260,-1.08010,-0.00337,-0.01482,-1.30236,-0.00328,-0.01463,-1.28465,-0.00318,-0.01204,-1.03082,-1.67074,-0.00314,0.13163,10.12169,5.65805,0.17142,10.12169,10.12169,0.08727,8.84829,10.12169,9.00854,10.12169,10.02824,0.57589,3.97136,-4.00080
2022,05,08,06,38,54,384,tr,0.000,0.000000,-0.366862,-4.302323,-0.00303,-0.00763,-0.59941,-0.00296,-0.01223,-1.06885,-0.00289,-0.01436,-1.28932,-0.00293,-0.01465,-1.32152,-0.00287,-0.01165,-1.02052,-1.67045,-0.00289,0.13191,10.12169,5.65687,0.17150,10.12169,10.12169,0.08735,8.84914,10.12169,9.00703,10.12169,10.02533,0.57581,3.97127,-4.00085
2022,05,08,06,38,54,634,tr,0.000,0.000000,0.506301,-9.951730,-0.00284,-0.00731,-0.58662,-0.00287,-0.01226,-1.07220,-0.00291,-0.01428,-1.27807,-0.00295,-0.01464,-1.31856,-0.00276,-0.01158,-1.02064,-1.67044,-0.00279,0.13194,10.12169,5.66219,0.17161,10.12169,10.12169,0.08733,8.85015,10.12169,9.00802,10.12169,10.02631,0.57582,3.97121,-4.00097
2022,05,08,06,38,54,883,tr,0.000,0.000000,-0.451677,-5.525530,-0.00293,-0.00733,-0.58785,-0.00286,-0.01214,-1.06569,-0.00290,-0.01426,-1.28025,-0.00288,-0.01466,-1.31456,-0.00289,-0.01171,-1.02572,-1.67050,-0.00298,0.13172,10.12169,5.66048,0.17140,10.12169,10.12169,0.08730,8.84826,10.12169,9.00805,10.12169,10.02852,0.57583,3.97124,-4.00081
2022,05,08,06,38,55,133,tr,0.000,0.000000,1.000000,-13.605440,-0.00310,-0.00773,-0.61239,-0.00313,-0.01238,-1.07462,-0.00317,-0.01461,-1.28526,-0.00317,-0.01500,-1.32476,-0.00311,-0.01195,-1.03077,-1.67076,-0.00313,0.13166,10.12169,5.66120,0.17135,10.12169,10.12169,0.08724,8.84808,10.12169,9.00888,10.12169,10.02835,0.57589,3.97133,-4.00082
2022,05,08,06,38,55,383,tr,0.000,0.000000,-0.039056,-6.083182,-0.00329,-0.00805,-0.62536,-0.00319,-0.01236,-1.07066,-0.00327,-0.01467,-1.29643,-0.00324,-0.01505,-1.33194,-0.00318,-0.01202,-1.03287,-1.67080,-0.00337,0.13138,10.12169,5.65918,0.17112,10.12169,10.12169,0.08692,8.84307,10.12169,9.00785,10.12169,10.02466,0.57546,3.97092,-4.00124
2022,05,08,06,38,55,634,tr,0.000,0.000000,-0.004726,-5.212359,-0.00328,-0.00782,-0.60208,-0.00334,-0.01255,-1.07518,-0.00339,-0.01493,-1.29410,-0.00347,-0.01529,-1.33753,-0.00345,-0.01227,-1.03937,-1.67097,-0.00347,0.13135,10.12169,5.65697,0.17107,10.12169,10.12169,0.08695,8.84268,10.12169,9.00759,10.12169,10.02494,0.57549,3.97087,-4.00130
2022,05,08,06,38,55,884,tr,0.000,0.000000,-0.507126,-1.669155,-0.00401,-0.00842,-0.61232,-0.00390,-0.01315,-1.09529,-0.00391,-0.01517,-1.28582,-0.00393,-0.01568,-1.34475,-0.00394,-0.01259,-1.04306,-1.67113,-0.00376,0.13083,10.12169,5.65958,0.17051,10.12169,10.12169,0.08630,8.83437,10.12169,9.00855,10.12169,10.02361,0.57498,3.97055,-4.00153
2022,05,08,06,38,56,134,tr,0.000,0.000000,-0.070158,-9.843659,-0.00416,-0.00857,-0.62573,-0.00414,-0.01345,-1.10636,-0.00415,-0.01544,-1.30127,-0.00401,-0.01580,-1.34765,-0.00400,-0.01284,-1.05572,-1.67129,-0.00368,0.13107,10.12169,5.66438,0.17075,10.12169,10.12169,0.08649,8.83596,10.12169,9.00727,10.12169,10.01590,0.57512,3.97043,-4.00173
2022,05,08,06,38,56,383,tr,0.000,0.000000,0.709295,-6.088650,-0.00418,-0.00864,-0.62511,-0.00407,-0.01333,-1.10186,-0.00408,-0.01522,-1.29041,-0.00387,-0.01572,-1.35285,-0.00386,-0.01265,-1.04095,-1.67127,-0.00390,0.13099,10.12169,5.66668,0.17029,10.12169,10.12169,0.08599,8.82959,10.12169,9.00610,10.12169,10.02521,0.57462,3.97013,-4.00197
