YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,16,34,35,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00174,-0.02570,-2.41446,-0.00177,-0.03584,-3.43896,-0.00212,-0.05760,-5.61383,-0.00982,-0.82585,-10.32589,-0.00657,-0.48676,-10.32656,-1.66881,-0.00098,-0.00050,0.10222,-0.19037,0.00188,0.33727,0.03891,-0.00103,0.04974,0.27140,-0.01439,-1.28340,-1.95262,0.62185,3.98270,-3.98115
2022,05,08,16,34,36,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00170,-0.02573,-2.42641,-0.00172,-0.03590,-3.44590,-0.00201,-0.05801,-5.65169,-0.00977,-0.83756,-10.32864,-0.00668,-0.49455,-10.30744,-1.66885,-0.00103,-0.00059,0.10129,-0.19047,0.00182,0.33679,0.03827,-0.00103,0.04890,0.27114,-0.01473,-1.31999,-1.97949,0.62185,3.98268,-3.98113
2022,05,08,16,34,36,391,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02574,-2.41891,-0.00175,-0.03601,-3.45346,-0.00203,-0.05832,-5.68134,-0.00996,-0.84481,-10.33400,-0.00666,-0.49633,-10.32276,-1.66877,-0.00089,-0.00049,0.10125,-0.19080,0.00183,0.33660,0.03788,-0.00102,0.04948,0.26986,-0.01478,-1.32253,-1.97685,0.62179,3.98265,-3.98120
2022,05,08,16,34,36,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00166,-0.02575,-2.42508,-0.00177,-0.03596,-3.45343,-0.00201,-0.05836,-5.69496,-0.00995,-0.84913,-10.32012,-0.00671,-0.49959,-10.30956,-1.66879,-0.00094,-0.00054,0.10025,-0.19071,0.00181,0.33534,0.03730,-0.00108,0.04843,0.26970,-0.01538,-1.38327,-2.02949,0.62181,3.98267,-3.98112
2022,05,08,16,34,36,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00171,-0.02570,-2.42046,-0.00184,-0.03606,-3.45991,-0.00205,-0.05878,-5.72967,-0.01002,-0.85672,-10.33694,-0.00672,-0.50643,-10.31468,-1.66875,-0.00095,-0.00047,0.10025,-0.19076,0.00184,0.33584,0.03668,-0.00101,0.04874,0.26958,-0.01559,-1.40171,-2.03926,0.62175,3.98263,-3.98113
2022,05,08,16,34,37,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02571,-2.42605,-0.00171,-0.03604,-3.46001,-0.00196,-0.05896,-5.74840,-0.01011,-0.86561,-10.32648,-0.00674,-0.51119,-10.29277,-1.66879,-0.00097,-0.00052,0.09957,-0.19102,0.00182,0.33519,0.03637,-0.00104,0.04824,0.26948,-0.01543,-1.39104,-2.01968,0.62177,3.98269,-3.98110
2022,05,08,16,34,37,391,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00178,-0.02577,-2.42693,-0.00182,-0.03618,-3.46790,-0.00204,-0.05932,-5.78170,-0.01022,-0.87240,-10.33216,-0.00682,-0.51390,-10.32354,-1.66881,-0.00088,-0.00048,0.09913,-0.19095,0.00187,0.33596,0.03579,-0.00102,0.04846,0.26985,-0.01581,-1.41871,-2.04373,0.62172,3.98260,-3.98118
2022,05,08,16,34,37,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02573,-2.43046,-0.00178,-0.03612,-3.46871,-0.00201,-0.05935,-5.78845,-0.01022,-0.87733,-10.31847,-0.00692,-0.51632,-10.30382,-1.66889,-0.00104,-0.00059,0.09812,-0.19091,0.00173,0.33521,0.03530,-0.00112,0.04771,0.26978,-0.01592,-1.43981,-2.05713,0.62172,3.98264,-3.98117
2022,05,08,16,34,37,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00179,-0.02600,-2.44547,-0.00185,-0.03624,-3.47506,-0.00209,-0.05952,-5.80712,-0.01031,-0.88147,-10.33385,-0.00691,-0.52055,-10.32350,-1.66882,-0.00096,-0.00052,0.09823,-0.19105,0.00186,0.33581,0.03476,-0.00102,0.04795,0.26945,-0.01643,-1.48310,-2.09468,0.62173,3.98260,-3.98118
2022,05,08,16,34,38,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00169,-0.02601,-2.44800,-0.00179,-0.03617,-3.47729,-0.00206,-0.06001,-5.85824,-0.01034,-0.89447,-10.31268,-0.00703,-0.52943,-10.30883,-1.66886,-0.00102,-0.00057,0.09709,-0.19136,0.00180,0.33531,0.03385,-0.00107,0.04709,0.26963,-0.01672,-1.51827,-2.12553,0.62173,3.98268,-3.98112
2022,05,08,16,34,38,392,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00181,-0.02605,-2.44696,-0.00181,-0.03637,-3.48962,-0.00214,-0.06051,-5.90150,-0.01056,-0.90523,-10.32970,-0.00702,-0.53448,-10.31905,-1.66881,-0.00099,-0.00059,0.09683,-0.19155,0.00181,0.33580,0.03326,-0.00102,0.04728,0.26955,-0.01704,-1.54875,-2.15456,0.62174,3.98265,-3.98113
2022,05,08,16,34,38,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02599,-2.45191,-0.00177,-0.03632,-3.48717,-0.00205,-0.06048,-5.89752,-0.01054,-0.90595,-10.33185,-0.00710,-0.53440,-10.30769,-1.66888,-0.00105,-0.00062,0.09607,-0.19169,0.00178,0.33556,0.03296,-0.00109,0.04664,0.26981,-0.01707,-1.55705,-2.15730,0.62166,3.98265,-3.98109
2022,05,08,16,34,38,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00178,-0.02610,-2.45551,-0.00182,-0.03636,-3.48581,-0.00212,-0.06077,-5.92408,-0.01062,-0.91354,-10.33569,-0.00709,-0.53970,-10.31918,-1.66882,-0.00097,-0.00059,0.09617,-0.19169,0.00183,0.33608,0.03258,-0.00114,0.04671,0.26969,-0.01775,-1.61193,-2.21195,0.62166,3.98261,-3.98110
2022,05,08,16,34,39,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00171,-0.02602,-2.46419,-0.00179,-0.03635,-3.49280,-0.00204,-0.06086,-5.94070,-0.01061,-0.91983,-10.32783,-0.00717,-0.54424,-10.30190,-1.66886,-0.00100,-0.00058,0.09554,-0.19184,0.00178,0.33595,0.03222,-0.00111,0.04608,0.26994,-0.01789,-1.63669,-2.23071,0.62170,3.98268,-3.98110
2022,05,08,16,34,39,391,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00181,-0.02616,-2.46106,-0.00190,-0.03648,-3.49888,-0.00211,-0.06153,-6.00294,-0.01093,-0.93554,-10.33521,-0.00722,-0.55348,-10.30959,-1.66882,-0.00099,-0.00056,0.09490,-0.19211,0.00184,0.33601,0.03122,-0.00107,0.04607,0.26947,-0.01839,-1.67705,-2.26834,0.62167,3.98261,-3.98113
2022,05,08,16,34,39,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02616,-2.46211,-0.00178,-0.03654,-3.50333,-0.00203,-0.06162,-6.01713,-0.01089,-0.93836,-10.32675,-0.00731,-0.55478,-10.29934,-1.66885,-0.00097,-0.00062,0.09398,-0.19207,0.00179,0.33582,0.03067,-0.00108,0.04546,0.26996,-0.01839,-1.69082,-2.27820,0.62170,3.98263,-3.98111
2022,05,08,16,34,39,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00177,-0.02637,-2.48280,-0.00186,-0.03668,-3.51871,-0.00212,-0.06206,-6.05491,-0.01098,-0.94671,-10.33808,-0.00724,-0.55876,-10.31873,-1.66883,-0.00094,-0.00054,0.09355,-0.19216,0.00180,0.33619,0.02997,-0.00107,0.04543,0.26988,-0.01916,-1.76146,-2.34362,0.62162,3.98264,-3.98101
2022,05,08,16,34,40,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00176,-0.02638,-2.49104,-0.00177,-0.03658,-3.51368,-0.00205,-0.06216,-6.07326,-0.01103,-0.95455,-10.31655,-0.00736,-0.56540,-10.30402,-1.66890,-0.00098,-0.00061,0.09271,-0.19234,0.00180,0.33846,0.02922,-0.00111,0.04464,0.27252,-0.01951,-1.79255,-2.37383,0.62171,3.98260,-3.98108
