Instrument: 905
Site: NASA_Ames
2025/JUL/10 -> 2025/JUL/18
Date	Time	JDay	Type	V1_1020	V1_1640	V1_870	V1_675	V1_440	V1_500	V1_1020(InGaAs)	V1_935	V1_380	V1_340	V2_1020	V2_1640	V2_870	V2_675	V2_440	V2_500	V2_1020(InGaAs)	V2_935	V2_380	V2_340	V3_1020	V3_1640	V3_870	V3_675	V3_440	V3_500	V3_1020(InGaAs)	V3_935	V3_380	V3_340	Temperature	offset(sec)	Level	Zenith	AirMass	AOD_1020	AOD_1640	AOD_870	AOD_675	AOD_440	AOD_500	AOD_1020(InGaAs)	Water_Vapor	AOD_380	AOD_340	Alpha
JUL/17/2025	23:04:14	198.961273	sun	453343.127892	881561.667340	744472.960897	878060.597152	512390.293524	692736.670614	558934.162752	212373.174772	72063.000000	8553.000000	452834.074480	881608.670682	744357.966928	877817.619955	512545.273046	693242.603913	558159.201348	212789.212335	72023.000000	8545.000000	453161.752562	881823.685966	744649.951616	879407.470753	512836.234598	693666.548021	558538.182473	212066.147051	72022.000000	8539.000000	24.3	30	L1.5V	40.171245	1.307498	0.025816	0.019624	0.034321	0.042634	0.083806	0.065898	0.026870	1.945505	0.098788		1.312955
JUL/17/2025	23:09:14	198.964745	sun	453129.686206	881096.634283	743445.014801	877449.654487	509555.668088	690797.926215	558728.173011	209286.896118	71386.000000	8433.000000	452900.211341	880640.601865	743493.012285	877506.649138	510103.595685	689866.049073	557334.242434	209188.887269	71276.000000	8417.000000	452630.653530	880788.612386	743529.010397	876738.721205	508936.749870	689787.059487	557943.212105	209439.909933	71253.000000	8404.000000	24.3	30	L1.5V	41.144236	1.326655	0.025617	0.019766	0.034625	0.042259	0.083565	0.066063	0.027012	1.953380	0.098538		1.303406
JUL/17/2025	23:14:14	198.968218	sun	453260.957853	880394.584376	743659.003580	876287.763526	506774.035648	687785.323393	558376.190541	206883.679136	70589.000000	8302.000000	453144.717310	880630.601154	743426.015798	874846.898746	506019.135400	686943.434386	558032.207673	206406.636064	70508.000000	8278.000000	452038.428005	880350.581248	742850.046001	874795.903532	505927.147555	685769.589144	557464.235960	205343.540080	70405.000000	8262.000000	24.3	30	L1.5V	42.120401	1.346841	0.025141	0.019503	0.034056	0.042437	0.083449	0.066343	0.026456	1.961779	0.098725		1.324776
JUL/17/2025	23:23:37	198.974734	sun	451117.400533	879791.231474	741356.328279	872254.662885	499706.747505	680558.944635	556432.852986	203642.046401	69044.000000	8020.000000	451413.838438	879518.217438	741987.304727	872712.632256	500153.705241	681134.890426	556580.847893	203163.015712	68998.000000	8014.000000	451113.394615	878664.173530	741077.338692	872086.674120	499139.801116	680427.956964	556031.866784	201730.923964	68866.000000	7988.000000	24.5	30	L1.5V	43.959690	1.387707	0.026622	0.019358	0.034393	0.042025	0.083186	0.066312	0.027429	1.940938	0.098360		1.312070
JUL/17/2025	23:34:25	198.982234	sun	0.000000	3.000154	2.999888	8.999398	20.998014	17.998306	1.999931	0.000000	2.000000	0.000000	0.000000	3.000154	1.999925	6.999532	19.998109	15.998494	1.999931	0.000000	2.000000	0.000000	0.000000	3.000154	2.999888	7.999465	19.998109	16.998400	2.999897	0.000000	3.000000	0.000000	24.5
JUL/17/2025	23:39:13	198.985567	sun	450492.228369	876479.306052	738880.254171	865238.800432	486737.683221	669009.798730	555582.329687	195129.617884	66109.000000	7511.000000	451268.835445	877943.410130	739782.206874	866342.696835	486716.685996	669743.701974	555981.309816	195957.692649	66008.000000	7499.000000	450822.912672	876415.301502	738706.263295	865109.812537	485975.783898	668438.874000	554466.385265	194687.577973	65848.000000	7475.000000	24.3	30	L1.5V	47.033969	1.465349	0.025110	0.019247	0.033937	0.042244	0.084038	0.066416	0.026572	1.924135	0.099403		1.339798
JUL/17/2025	23:44:13	198.989039	sun	449648.728706	874665.614986	737344.734202	862572.381358	482451.210293	665019.773838	554208.938827	191398.815007	65121.000000	7351.000000	449947.435353	876209.739649	737538.722556	861785.465853	482195.248911	663814.955418	554158.941719	190054.675852	64895.000000	7327.000000	449971.492264	874624.611676	737446.728079	861031.546805	480785.461613	662832.103545	554336.931422	189615.630399	64612.000000	7277.000000	24.2	30	L1.5V	48.022526	1.493129	0.025855	0.019871	0.034548	0.043366	0.084364	0.067517	0.027134	1.944479	0.100548		1.319973
JUL/17/2025	23:49:13	198.992512	sun	449753.332949	874803.954190	736876.146197	860468.940147	476564.186219	659199.203567	553902.370807	186912.841096	63912.000000	7137.000000	448904.072047	874286.907525	735656.228732	858908.128902	476166.253699	658359.346002	553564.393157	187004.851848	63657.000000	7114.000000	449101.597900	875100.980998	735912.211413	858501.178116	475414.381198	657081.562707	552996.430716	186793.827189	63490.000000	7082.000000	24.1	30	L1.5V	49.012221	1.522475	0.025983	0.019456	0.034745	0.043392	0.085912	0.068888	0.027242	1.947947	0.102071		1.345166
JUL/17/2025	23:54:13	198.995984	sun	449014.365671	874312.909872	735038.270540	856202.456110	469570.372201	652205.389678	553071.425756	185233.644879	62375.000000	6915.000000	448715.570218	874337.912128	735527.237459	856118.466267	469515.381526	652085.410026	552513.462654	185175.638101	62266.000000	6886.000000	448249.328991	873132.803363	734390.314378	855459.545953	469181.438155	651068.582474	551997.496775	184199.524040	62203.000000	6876.000000	24.1	30	L1.5V	50.002831	1.553495	0.026096	0.019324	0.034767	0.043966	0.088321	0.070755	0.027597	1.931987	0.105385		1.386492
JUL/17/2025	23:59:13	198.999456	sun	447928.369816	872958.987218	732953.806220	852552.311836	463467.755995	646706.104436	552217.781830	181153.597329	61013.000000	6703.000000	448090.850579	872855.976953	733260.783103	851064.511980	462665.906937	645110.405204	552007.797503	180437.504050	60882.000000	6671.000000	448068.785290	872561.947654	733076.796958	851161.498933	461901.050915	644431.533162	551510.834597	179606.395788	60728.000000	6648.000000	24.0	30	L1.5V	50.994141	1.586308	0.026153	0.019344	0.035357	0.045131	0.090541	0.072299	0.027439	1.943854	0.108279		1.394452
