YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,00,16,48,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26635,-0.00085,-0.00064,-0.21660,-0.00092,-0.00067,-0.22863,-0.00088,-0.00077,-0.23219,-0.00087,-0.00066,-0.24427,-0.00088,-0.00061,-0.00037,-0.00057,-0.22716,-0.00070,-0.00076,-0.21612,-0.00069,-0.00075,-0.23005,-0.00081,-0.00072,-0.00076,-0.00065,-0.55059,-0.00038,-0.00040,-0.00044,-1.19407,-1.72280,-2.34215,-0.00010,-0.00006,0.00000,-0.00013,-0.00010
2022,05,11,00,16,48,634,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26635,-0.00080,-0.00059,-0.21654,-0.00090,-0.00059,-0.22867,-0.00088,-0.00079,-0.23224,-0.00089,-0.00065,-0.24430,-0.00090,-0.00066,-0.00034,-0.00059,-0.22730,-0.00072,-0.00079,-0.21617,-0.00068,-0.00077,-0.23009,-0.00080,-0.00068,-0.00071,-0.00063,-0.54731,-0.00033,-0.00039,-0.00037,-1.19549,-1.72479,-2.35076,-0.00013,-0.00007,-0.00005,-0.00008,-0.00012
2022,05,11,00,16,48,885,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26646,-0.00090,-0.00065,-0.21660,-0.00085,-0.00062,-0.22867,-0.00088,-0.00076,-0.23216,-0.00087,-0.00063,-0.24435,-0.00087,-0.00062,-0.00038,-0.00053,-0.22732,-0.00071,-0.00070,-0.21628,-0.00067,-0.00074,-0.23016,-0.00080,-0.00073,-0.00072,-0.00061,-0.54514,-0.00042,-0.00039,-0.00043,-1.19423,-1.72401,-2.34299,-0.00014,-0.00002,-0.00008,-0.00004,-0.00010
2022,05,11,00,16,49,135,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26655,-0.00085,-0.00057,-0.21660,-0.00086,-0.00065,-0.22872,-0.00091,-0.00076,-0.23227,-0.00090,-0.00069,-0.24437,-0.00092,-0.00066,-0.00038,-0.00058,-0.22732,-0.00065,-0.00081,-0.21629,-0.00069,-0.00071,-0.23023,-0.00076,-0.00069,-0.00074,-0.00065,-0.54756,-0.00031,-0.00038,-0.00041,-1.18385,-1.71212,-2.33852,-0.00009,-0.00009,-0.00005,-0.00006,-0.00010
2022,05,11,00,16,49,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26664,-0.00089,-0.00063,-0.21666,-0.00084,-0.00062,-0.22877,-0.00081,-0.00074,-0.23222,-0.00092,-0.00067,-0.24442,-0.00092,-0.00062,-0.00033,-0.00051,-0.22737,-0.00065,-0.00076,-0.21635,-0.00070,-0.00075,-0.23029,-0.00076,-0.00076,-0.00077,-0.00066,-0.54733,-0.00040,-0.00042,-0.00047,-1.19004,-1.72016,-2.33630,-0.00013,-0.00007,-0.00003,-0.00008,-0.00009
2022,05,11,00,16,49,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26669,-0.00084,-0.00060,-0.21672,-0.00089,-0.00061,-0.22885,-0.00093,-0.00079,-0.23225,-0.00088,-0.00066,-0.24445,-0.00092,-0.00069,-0.00042,-0.00054,-0.22739,-0.00066,-0.00076,-0.21634,-0.00064,-0.00076,-0.23036,-0.00080,-0.00069,-0.00078,-0.00061,-0.54553,-0.00034,-0.00041,-0.00039,-1.19770,-1.72453,-2.35062,-0.00013,-0.00006,-0.00013,-0.00007,-0.00013
2022,05,11,00,16,49,885,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26683,-0.00087,-0.00067,-0.21677,-0.00087,-0.00063,-0.22888,-0.00087,-0.00079,-0.23228,-0.00092,-0.00062,-0.24449,-0.00086,-0.00063,-0.00033,-0.00056,-0.22743,-0.00065,-0.00077,-0.21642,-0.00069,-0.00077,-0.23038,-0.00080,-0.00073,-0.00077,-0.00062,-0.54731,-0.00032,-0.00042,-0.00044,-1.19361,-1.72248,-2.33841,-0.00007,-0.00002,-0.00005,-0.00002,-0.00006
2022,05,11,00,16,50,134,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26687,-0.00087,-0.00059,-0.21678,-0.00085,-0.00059,-0.22886,-0.00086,-0.00076,-0.23236,-0.00090,-0.00064,-0.24454,-0.00093,-0.00065,-0.00038,-0.00057,-0.22744,-0.00068,-0.00073,-0.21642,-0.00066,-0.00070,-0.23042,-0.00076,-0.00073,-0.00077,-0.00065,-0.55351,-0.00033,-0.00037,-0.00039,-1.19465,-1.72633,-2.35052,-0.00010,-0.00011,-0.00006,-0.00010,-0.00010
2022,05,11,00,16,50,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26697,-0.00085,-0.00067,-0.21683,-0.00087,-0.00063,-0.22892,-0.00084,-0.00080,-0.23232,-0.00088,-0.00065,-0.24454,-0.00090,-0.00061,-0.00038,-0.00053,-0.22750,-0.00068,-0.00070,-0.21648,-0.00067,-0.00074,-0.23050,-0.00082,-0.00072,-0.00077,-0.00067,-0.54780,-0.00036,-0.00039,-0.00042,-1.19143,-1.72125,-2.33871,-0.00009,-0.00004,-0.00004,-0.00008,-0.00007
2022,05,11,00,16,50,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26703,-0.00086,-0.00060,-0.21679,-0.00092,-0.00059,-0.22896,-0.00091,-0.00080,-0.23234,-0.00090,-0.00065,-0.24461,-0.00089,-0.00065,-0.00038,-0.00055,-0.22757,-0.00067,-0.00080,-0.21647,-0.00064,-0.00076,-0.23044,-0.00084,-0.00072,-0.00075,-0.00065,-0.54539,-0.00034,-0.00039,-0.00040,-1.19390,-1.72412,-2.34977,-0.00009,-0.00007,-0.00006,-0.00012,-0.00012
